"country code",Country,World region,Survey ,Year,"Multidimensional Poverty Index","Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor(A)",Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
AFG,Afghanistan,South Asia,DHS,2016,0.2028042469,42.9336153652,47.2367037343,16.3387957867,17.6564570897,34636.207,37769.499,38972.23,1.3553545104,528.2118530273,226.7804412842,7.2392657399,46.0222005844,46.7385351658,,7.2392658521,22.1231174401,23.8990830393,9.9980391747,9.3509728505,6.9091686115,4.6678447943,11.5114443217,4.3010639157
ALB,Albania,Europe and Central Asia,DHS,2018,0.0052599076,1.4158848433,37.1492610172,5.8311106771,0.0783560997,2877.013,2873.883,2866.849,12.5183197288,358.8813171387,5.081346035,40.8358573914,47.3468691111,11.8172742426,40.8358564182,0,43.3479194756,3.9989500752,1.632379795,4.3045952419,4.412506383,0,0.9245011334,0.5432914777
DZA,Algeria,Arab States,MICS,2019,0.0027478845,0.7714754495,35.6185607625,4.0323003701,0.0494023964,42705.368,42705.368,43451.666,8.1490152063,3540.8828125,27.3170413971,26.7526507378,57.775914669,15.4714345932,26.7526507839,0,38.0856074763,19.6903077608,1.7945478926,5.0421872828,4.2902474602,0.5686438303,1.8289710792,1.9468364339
AGO,Angola,Sub-Saharan Africa,DHS,2016,0.3029033681,53.9097003804,56.1871733548,13.4297095194,36.2524914643,29154.746,32353.588,33428.486,29.4359389391,9839.98828125,5304.7080078125,18.6523213983,33.266851306,48.0808258057,15.8006957638,2.8516255685,20.1757370549,13.0911151505,7.9873134812,8.7068267238,6.6712857104,8.7186340791,8.8284076555,7.1683588123
ARG,Argentina,Latin America and the Caribbean,MICS,2020,0.0019883811,0.5923208361,33.5693250401,1.7764396959,0.0011151462,45036.032,44745.52,45036.032,49.1976945328,22156.689453125,131.2386932373,71.9021499157,18.4851109982,9.6127361059,36.6086836062,35.2934678471,10.9184535023,7.5666581064,0.2997070205,2.8280223121,0.1418906443,0,3.4174391492,2.9256778119
ARM,Armenia,Europe and Central Asia,DHS,2016,0.0009902387,0.274833104,36.0305469232,2.4994202953,0,2865.835,2820.602,2805.608,26.2835252243,737.4126586914,2.0266540051,22.4577233195,46.2570458651,31.2852293253,22.4577239605,0,4.7132456243,41.5438003822,7.317243165,15.4190153355,0,0,1.5710818748,6.9778896576
BGD,Bangladesh,South Asia,MICS,2019,0.1062870909,25.2394464,42.1114985105,17.6261276285,5.7616286166,165516.222,165516.222,167420.951,9.3690732664,15685.7919921875,3959.0070800781,11.6140052676,42.2682017088,46.1177945137,10.2003859421,1.4136189343,31.4665207002,10.8016821607,12.2816766471,8.6629332536,0.5389151101,2.5346301696,12.3339045328,9.7657325494
BRB,Barbados,Latin America and the Caribbean,MICS,2012,0.0100822845,3.012210277,33.4713832857,0.4995628104,0,276.197,280.18,280.693,50.1040797081,140.6386413574,4.2363314629,99.5875597,0,0.4124417435,99.5875582696,,0,0,0,0.4124417304,0,0,0,0
BLZ,Belize,Latin America and the Caribbean,MICS,2016,0.008061758,2.106219192,38.2759685453,7.9197233851,0.1896072839,367.313,389.095,394.921,31.5656290977,124.6593017578,2.6255981922,47.057518363,18.2158812881,34.7266018391,37.2541871439,9.8033321488,5.0833773113,13.132504038,8.1969119769,5.0361172951,2.8374211502,5.4249186453,9.2852354387,3.9459948519
BEN,Benin,Sub-Saharan Africa,DHS,2018,0.330214571,63.2970712288,52.1690126481,17.3035615213,34.780838042,11940.683,12290.444,12643.123,18.9895774926,2400.8757324219,1519.6840820313,16.2083029747,35.9416812658,47.8500187397,12.8093895488,3.3989129996,22.8397991611,13.101881341,10.5966167648,10.1801399948,5.1944079403,9.0142235593,6.5375832246,6.3270454657
BTN,Bhutan,South Asia,MICS,2010,0.1739998982,37.3957202199,46.5293614359,20.1731770805,13.920867189,705.516,767.459,772.506,27.6363748884,213.4926605225,79.8371200562,24.4402363896,37.1325850487,38.4271770716,11.9352659817,12.5049717254,27.4898065289,9.642778749,8.4357065167,7.4213373929,1.1328466606,5.6418646227,9.6978167151,6.0976051071
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,0.0367732916,8.6712051788,42.4085128015,11.4880107739,1.7820273661,11263.015,11777.315,11936.162,23.2785775309,2778.5686035156,240.9353790283,16.3704499602,34.3334883451,49.2960631847,14.5324955829,1.837955099,27.1830146892,7.1504731525,9.5807680576,12.3960287372,3.950544253,5.3641624902,10.5786903297,7.4258676088
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2012,0.0098709309,2.6750230411,36.9003584011,9.8066671889,0.1188406297,3674.374,3360.711,3318.407,12.6913335579,421.1501159668,11.2658624649,58.0546855927,28.1100064516,13.8353079557,58.0546853786,,16.9721545491,11.1378521739,5.1442417167,4.7915580294,0.4200552549,0.907688747,0.8658268203,1.7059373301
BWA,Botswana,Sub-Saharan Africa,BMTHS,2016,0.0816516632,19.5784452648,41.704875992,22.1129632849,3.7311575552,2352.416,2499.702,2546.402,51.5367906158,1312.3338623047,256.9345703125,33.8633418083,14.4078478217,51.7288088799,31.6175707885,2.2457725144,6.3959794473,8.0118690324,12.6171948222,10.2982826667,2.0325304943,11.8699095631,5.8493612003,9.0615294706
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,0.0140927825,3.2488773587,43.3773915732,5.5659914103,0.9178584579,205188.205,211782.878,213196.304,37.507438024,79964.46875,2597.9475097656,54.3236255646,23.281416297,22.3949566483,,54.3236257938,18.5077358523,4.7736812854,3.0674766415,10.9469827234,5.533664507,0.2572826621,1.8067746108,0.7827759236
