"country code",Country,World region,Survey,Year,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
AFG,Afghanistan,South Asia,DHS,2016,0.2726669619,56.087795026,48.614312939,18.1629080696,24.9617303572,34636.207,37769.499,38972.23,98.6446454896,38444.01953125,21562.40234375,10.0380465388,44.9782818556,44.9836701155,,10.0380465723,19.220050089,25.7582324093,10.0721928262,9.9660840422,6.1509852405,4.8424517971,11.1347565307,2.8172004928
ALB,Albania,Europe and Central Asia,DHS,2018,0.0023441402,0.5937808575,39.4782041559,4.9300607281,0.0572302703,2877.013,2873.883,2866.849,87.4816802712,2507.9677734375,14.8918323517,24.1879865527,58.0196082592,17.7924081683,23.991456789,0.1965295411,27.4283831931,30.5912228372,7.0053983377,2.3172148914,4.2223458386,0,3.281916069,0.965532503
DZA,Algeria,Arab States,MICS,2019,0.0056451954,1.4348972756,39.3421572778,3.5694503604,0.2164178914,42705.368,42705.368,43451.666,91.8509847937,39910.78125,572.6787109375,31.4070373774,48.9352792501,19.6576818824,24.1067890181,7.3002493544,29.2461793101,19.6891003148,1.2852438806,6.3846892495,4.2417484467,1.7476533958,4.6615665299,1.3367805001
AGO,Angola,Sub-Saharan Africa,DHS,2016,0.2739543672,49.9446229758,54.8516238349,16.4332061591,30.8762494361,29154.746,32353.588,33428.486,70.5640610609,23588.498046875,11781.1865234375,22.3312839866,31.4795792103,46.1891382933,17.9568881309,4.3743963398,17.7638178243,13.7157615264,7.7542468637,8.7351277559,7.530214582,8.3909716066,8.6112718206,5.1673035499
ARG,Argentina,Latin America and the Caribbean,MICS,2020,0.0009666047,0.277379418,34.8477436207,1.5225527654,0.0090010282,45036.032,44745.52,45036.032,50.8023054672,22879.341796875,63.4625854492,65.2518451214,27.1528661251,7.5952857733,34.332273699,30.9195729688,14.2921095096,12.8607583319,0.1168991711,1.5581057062,0.6529800164,0.5706824888,3.6134534516,1.0831646567
ARM,Armenia,Europe and Central Asia,DHS,2016,0.0005830438,0.1605035438,36.3259171868,2.8751024524,0,2865.835,2820.602,2805.608,73.7164747757,2068.1953125,3.3195266724,39.5628303289,31.0325473547,29.4046223164,39.5628291269,0,6.318095451,24.714452533,4.9494588646,15.293641526,4.9494588646,0,2.106031817,2.106031817
BGD,Bangladesh,South Asia,MICS,2019,0.1038300658,24.5786640294,42.2439827085,18.2662981076,6.554145304,165516.222,165516.222,167420.951,90.6309267336,151735.15625,37294.47265625,17.8778067231,37.1434092522,44.9787855148,15.7186487895,2.1591583064,26.2814242621,10.8619835535,12.4855385788,8.2862999146,0.7862894755,2.4572036962,12.4680623912,8.4953910321
BRB,Barbados,Latin America and the Caribbean,MICS,2012,0.0069689583,1.9682904906,35.406147219,0.4839955193,0,276.197,280.18,280.693,49.8959202919,140.0543518066,2.7566764355,90.9032464027,1.621180959,7.4755705893,90.9032481471,,1.6211810063,0,0,0.1684247957,0.216365043,2.2208041211,4.329583218,0.5403936688
BLZ,Belize,Latin America and the Caribbean,MICS,2016,0.0212818303,5.31706808,40.0254990575,8.5700455813,0.8334829047,367.313,389.095,394.921,68.4343709023,270.2616882324,14.3699979782,38.1774365902,21.4175209403,40.4050439596,30.0535516087,8.1238857991,6.7685833472,14.6489379825,10.4137075182,6.8815949681,2.1740696082,8.4516790939,9.2458550537,3.2381350206
BEN,Benin,Sub-Saharan Africa,DHS,2018,0.3764558473,67.6197462083,55.6724726773,14.0726943788,42.3802363402,11940.683,12290.444,12643.123,81.0104225074,10242.2470703125,6925.78125,21.7969015241,36.3382220268,41.8648779392,16.8323609141,4.9645407297,19.5334402169,16.8047822843,9.9079231486,9.6534244617,5.7278631401,8.1801349329,6.4732925524,1.9222376194
BTN,Bhutan,South Asia,MICS,2010,0.1751939902,37.3202797219,46.943375439,16.7222286223,14.9648188496,705.516,767.459,772.506,72.3636251116,559.0133666992,208.6253509521,24.1447687149,36.4006489515,39.4545823336,12.154687839,11.9900816726,28.6690493506,7.7315990312,8.9986794229,6.8634425312,0.9994237115,6.8724091683,9.8461261059,5.8745011669
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,0.0380083446,9.166652693,41.4637118809,12.3255835397,1.9556836699,11263.015,11777.315,11936.162,76.7214224691,9157.59375,839.4448242188,19.3318411708,30.6277662516,50.0403940678,16.9160114218,2.4158304611,24.6427470259,5.9850171859,10.7298658571,12.8474380714,4.5887460982,5.6286363186,11.1686521458,5.0770554142
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2012,0.0080802328,2.1196491399,38.1206144911,3.2409047982,0.053773762,3674.374,3360.711,3318.407,87.3086664421,2897.2568359375,61.4116783142,83.5023581982,3.5064965487,12.9911452532,83.5023580498,,1.7265273945,1.7799693722,10.7027797708,1.210411401,0.2274714661,0.2412689975,0.2378719867,0.3713415614
