"country code",Country,World region,Survey,Year,MPI,"Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor (A)",Vulnerable to poverty,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by area,"Population size by area",Number of MPI poor by area,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
AFG,Afghanistan,South Asia,DHS,2016,0.0940717798,21.2095338472,44.3535348129,21.23217863,7.0600389143,34636.207,37769.499,38972.23,24.0064638122,9355.8544921875,1984.3331298828,17.9775223136,47.0685005188,34.9539786577,,17.9775227818,20.9740084603,26.0944905137,5.4129722891,8.6828625045,4.4963590293,2.9318361595,11.2382917797,2.191656482
ALB,Albania,Europe and Central Asia,DHS,2018,0.002713055,0.7098571212,38.2197333026,3.3837946063,0.0601632424,2877.013,2873.883,2866.849,58.3598304868,1673.0882568359,11.8765363693,27.7369469404,59.6606433392,12.6024097204,27.4825339023,0.2544118887,37.5357005546,22.1249438073,2.3000749494,3.4265883981,5.2840736747,0,0.6300017169,0.961671108
DZA,Algeria,Arab States,MICS,2019,0.0023344245,0.6422082181,36.3499628585,2.0124037393,0.0450778235,42705.368,42705.368,43451.666,63.0961941414,27416.34765625,176.0700378418,42.446115613,50.7452368736,6.8086482584,29.7601075021,12.6860075726,27.2660296943,23.4792065331,0.2387937356,2.9052346392,1.0513565543,0.0396704089,1.5044285126,1.0691648473
AGO,Angola,Sub-Saharan Africa,DHS,2016,0.1445186416,29.8136530879,48.4739797334,19.9089173809,12.8818141749,29154.746,32353.588,33428.486,63.5178102087,21233.04296875,6330.345703125,27.6602208614,31.8127602339,40.5270189047,22.2809262013,5.3792938107,15.1549685876,16.6577912417,5.6357120492,8.8163478873,6.1167007675,7.9409624991,7.7021305397,4.3151664159
ARG,Argentina,Latin America and the Caribbean,MICS,2020,0.0014692951,0.4323233348,33.9860236491,1.6474592819,0.0051213561,45036.032,44745.52,45036.032,100,45036.03125,194.7012786865,69.6795344353,21.3819876313,8.9384786785,35.8478779173,33.8316555016,12.045973056,9.336015003,0.2386102684,2.4035997267,0.3127033352,0.1907294827,3.482949669,2.30988604
ARM,Armenia,Europe and Central Asia,DHS,2016,0,0,,1.2502598913,0,2865.835,2820.602,2805.608,58.2900414085,1635.3900146484,0,,,,,,,,,,,,,
BGD,Bangladesh,South Asia,MICS,2019,0.060386921,14.5183825317,41.5934219153,14.6692599216,3.3835350763,165516.222,165516.222,167420.951,21.5707270333,36113.91796875,5243.1567382813,18.0719316006,42.9962337017,38.9318346977,15.6934028487,2.3785295028,29.3147799192,13.681453,9.741097719,9.8363401419,0.5660627011,1.2393089323,10.5468720147,7.0021532204
BRB,Barbados,Latin America and the Caribbean,MICS,2012,0.009003916,2.6416205491,34.084819726,0.343212316,0,276.197,280.18,280.693,62.6589139329,175.8791809082,4.6460604668,96.419698,0.687775109,2.8925290331,96.4196958713,,0.6877751137,0,0,0,0.1333538932,1.2649583753,1.2649583753,0.2292583712
BLZ,Belize,Latin America and the Caribbean,MICS,2016,0.0030709896,0.8511975605,36.0784581741,4.177920161,0,367.313,389.095,394.921,42.204947429,166.6761932373,1.4187437296,49.2045253515,11.2977147102,39.4977599382,39.316813999,9.8877108452,6.8788038576,4.4189109453,9.5329507804,8.7307967203,2.5762785129,4.4874897314,12.6068497282,1.5633948798
BEN,Benin,Sub-Saharan Africa,DHS,2018,0.2541898549,49.1940984759,51.6708025541,18.9623808479,26.0097466766,11940.683,12290.444,12643.123,39.9821887904,5054.9970703125,2486.7602539063,21.9938725233,35.6446385384,42.3614889383,17.0114571034,4.9824147955,20.6158357243,15.0288039852,10.6458684444,10.1190667218,5.4986241811,7.7859782078,5.5689196432,2.7430311931
BTN,Bhutan,South Asia,MICS,2010,0.0369125895,9.3487984026,39.4837795598,10.4746112978,1.5106830494,705.516,767.459,772.506,28.25102572,218.2408752441,20.4028987885,39.426523447,43.8773989677,16.696074605,24.8703609397,14.5561638201,30.5270645592,13.3503359702,1.3835333511,6.2114850745,0.3063954721,0.6142904907,5.5030071459,2.6773631765
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,0.0047211664,1.1819789461,39.9428979318,7.3125570202,0.1903395333,11263.015,11777.315,11936.162,68.6411988374,8193.125,96.8410110474,35.2099567652,36.726090312,28.0639529228,29.3779129112,5.8320439907,22.9606751959,13.7654152608,3.2918757644,11.2673648511,2.0749669617,1.312750109,6.8629291901,3.254065765
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2012,0.0087689118,2.4191440846,36.2479931073,1.671998041,0.0440846708,3674.374,3360.711,3318.407,34.2124834505,1135.3094482422,27.4647712708,79.4394493103,12.7857387066,7.7748097479,79.4394507423,,6.0357743872,6.7499644269,4.8552144686,1.9832528473,0.0712165028,0.3065286068,0.4426765951,0.1159214231
BWA,Botswana,Sub-Saharan Africa,BMTHS,2016,0.0338138632,8.4522091569,40.0059470269,14.7832754602,1.3448456718,2352.416,2499.702,2546.402,64.1725986691,1634.0922851563,138.116897583,39.3425881863,14.2052277923,46.4521825314,35.0282382511,4.3143487394,4.5656410952,9.6395869495,11.8887550257,10.3947346876,1.8055592581,11.4780253157,3.160878936,7.7242317416
