ISOcountry code,country,World region,Continent,Survey,Year,Admin,Admin name Region,admin level,Population Share (%),MPI,"Headcount Ratio (H, %)","Intensity (A, %)"
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Kabul,1,16,0.071,14.7,48
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Kapisa,1,1.6,0.119,24.7,48
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Parwan,1,2.4,0.217,42.4,51.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Wardak,1,2.2,0.337,67.1,50.2
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Logar,1,1.7,0.14,30.4,46.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Nangarhar,1,5.8,0.349,66.3,52.7
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Laghman,1,1.7,0.341,62.7,54.4
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Panjsher,1,0.5,0.117,25,46.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Baghlan,1,3.2,0.291,58,50.2
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Bamyan,1,1.6,0.309,59.3,52.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Ghazni,1,4.4,0.305,58.7,51.9
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Paktika,1,1.5,0.14,29.7,47.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Paktya,1,1.9,0.235,48.3,48.5
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Khost,1,2.2,0.252,51.6,48.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Kunarha,1,1.6,0.302,57,53.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Nooristan,1,0.5,0.476,80.2,59.3
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Badakhshan,1,3.4,0.348,64.9,53.7
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Takhar,1,3.4,0.259,51.9,49.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Kunduz,1,3.8,0.43,77.3,55.6
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Samangan,1,1.3,0.409,72.7,56.3
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Balkh,1,4.8,0.237,45,52.6
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Sar-e-Pul,1,2,0.324,61.3,52.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Ghor,1,2.6,0.365,70.1,52.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Daykundi,1,1.6,0.348,67.4,51.7
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Urozgan,1,1.3,0.378,71.2,53.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Zabul,1,1.2,0.416,76.9,54.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Kandahar,1,4.4,0.342,66.7,51.3
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Jawzjan,1,1.9,0.207,43,48.1
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Faryab,1,3.9,0.388,68.3,56.2
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Helmand,1,3.3,0.376,73.9,50.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Badghis,1,2.4,0.504,85.5,58.9
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Herat,1,7.1,0.316,57.6,54.8
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Farah,1,2.1,0.367,66.7,55
AFG,Afghanistan,South Asia,Asia,ALCS,2016-2017,province,Nimroz,1,0.7,0.237,47.5,49.9
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Guidimagha,1,8.1,0.577,90.2,63.9
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Gorgol,1,9,0.46,79.7,57.7
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Hodh Chargui,1,12.2,0.451,77.8,58
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Hodh Gharbi,1,8.1,0.436,74.3,58.7
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Assaba,1,9.2,0.387,67.3,57.5
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Tagant,1,2,0.373,64.4,57.9
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Brakna,1,9.2,0.34,62.1,54.8
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Adrar,1,2,0.229,44.4,51.5
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Trarza,1,8.2,0.202,39.9,50.6
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Nouakchott ,1,26.2,0.149,30.7,48.7
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Inchiri,1,1,0.136,28.5,47.9
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Nouadhibou,1,3,0.126,26.4,47.5
MRT,Mauritania,Sub-Saharan Africa,Africa,EPCV,2019,region,Tiris Zemmour,1,1.9,0.122,25.2,48.5
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Abia,1,1.8,0.101,29.8,33.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Adamawa,1,2.4,0.283,68.7,41.2
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,"Akwa
Ibom",1,3.4,0.293,71.3,41.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Anambra,1,2.4,0.109,32.1,34.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Bauchi,1,3.7,0.298,73.9,40.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Bayelsa,1,1.4,0.401,88.5,45.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Benue,1,3,0.312,75,41.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Borno,1,1.5,0.315,72.5,43.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,"Cross
River",1,2.2,0.299,75.4,39.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Delta,1,2.7,0.173,47.6,36.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Ebonyi,1,2.2,0.32,78,41.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Edo,1,1.9,0.126,35.4,35.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Ekiti,1,1.7,0.125,36,34.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Enugu,1,2,0.234,63.1,37.2
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Gombe,1,1.7,0.38,86.2,44
